Latitude,Longitude,City,Country,blurb,transportation,accommodations_hotels,accommodations_hostels,restaurants,evenings_bars,evenings_nightlife,evenings_weekly,tourscore,accommodations_popup,transportation_popup,restaurants_popup,evenings_popup,blogs,slides
27.8313,112.9454,Xiangtan,China,,,,,,,,,,,,,,,
31.868,106.748,Bazhou,China,,,,,,,,,,,,,,,
38.416,112.734,Xinzhou,China,,,,,,,,,,,,,,,
26.6418,118.1774,Nanping,China,,,,,,,,,,,,,,,
23.9234,90.3959,Gāzipura,Bangladesh,,,,,,,,,,,,,,,
22.7872,115.3756,Shanwei,China,,,,,,,,,,,,,,,
33.551,119.113,Huai’an,China,,,,,,,,,,,,,,,
11.8689,75.3555,Attadappa,India,,,,,,,,,,,,,,,
26.0865,119.298,Gulou,China,,,,,,,,,,,,,,,
22.335,91.8325,Chattogram,Bangladesh,,,,,,,,,,,,,,,
-4.2667,15.2667,Brazzaville,Congo (Brazzaville),,,,,,,,,,,,,,,
19.1972,72.9722,Barmhān Kalān,India,,,,,,,,,,,,,,,
6.2308,-75.5906,Medellín,Colombia,,,,,,,,,,,,,,,
35.608,104.592,Dingxi,China,,,,,,,,,,,,,,,
30.939,118.759,Xuanzhou,China,,,,,,,,,,,,,,,
25.146,82.569,Mirzāpur,India,,,,,,,,,,,,,,,
25.0375,121.5625,Taipei,Taiwan,,,,,,,,,,,,,,,
26.2634,117.6389,Sanming,China,,,,,,,,,,,,,,,
19.2925,-99.6569,Toluca,Mexico,,,,,,,,,,,,,,,
3.8667,11.5167,Yaoundé,Cameroon,,,,,,,,,,,,,,,
25.112,99.161,Baoshan,China,,,,,,,,,,,,,,,
40.7523,120.828,Lianshan,China,,,,,,,,,,,,,,,
33.3702,104.9603,Longba,China,,,,,,,,,,,,,,,
21.1497,79.0806,Nāgpur,India,,,,,,,,,,,,,,,
40.7498,-73.7976,Queens,United States,,,,,,,,,,,,,,,
42.2237,123.726,Tieling,China,,,,,,,,,,,,,,,
22.9152,112.0445,Yunfu,China,,,,,,,,,,,,,,,
35.8717,128.6017,Daegu,"Korea, South",,,,,,,,,,,,,,,
28.67,77.42,Ghāziābād,India,,,,,,,,,,,,,,,
20.8651,106.6838,Haiphong,Vietnam,,,,,,,,,,,,,,,
30.129,104.627,Yanjiang,China,,,,,,,,,,,,,,,
32.436,105.844,Guangyuan,China,,,,,,,,,,,,,,,
33.9381,-117.3949,Riverside,United States,,,,,,,,,,,,,,,
23.884,100.089,Lincang,China,,,,,,,,,,,,,,,
26.126,86.605,Supaul,India,,,,,,,,,,,,,,,
32.6653,51.6703,Eşfahān,Iran,,,,,,,,,,,,,,,
39.3051,-76.6144,Baltimore,United States,,,,,,,,,,,,,,,
36.65,109.494,Yan’an,China,,,,,,,,,,,,,,,
35.7091,107.6436,Qinbaling,China,,,,,,,,,,,,,,,
30.7824,106.1281,Gaoping,China,,,,,,,,,,,,,,,
6.2069,7.0678,Awka,Nigeria,,,,,,,,,,,,,,,
28.6557,121.4208,Taizhou,China,,,,,,,,,,,,,,,
31.669,118.507,Ma’anshan,China,,,,,,,,,,,,,,,
38.6359,-90.2451,St. Louis,United States,,,,,,,,,,,,,,,
28.468,119.923,Lishui,China,,,,,,,,,,,,,,,
22.3167,114.1833,Kowloon,Hong Kong,,,,,,,,,,,,,,,
-31.4167,-64.1833,Córdoba,Argentina,,,,,,,,,,,,,,,
22.377,107.365,Chongzuo,China,,,,,,,,,,,,,,,
23.7501,109.2212,Laibin,China,,,,,,,,,,,,,,,
24.7816,118.5517,Qingyang,China,,,,,,,,,,,,,,,
22.3,70.7833,Rājkot,India,,,,,,,,,,,,,,,
33.8734,109.9186,Shangzhou,China,,,,,,,,,,,,,,,
17.7042,83.2978,Vishākhapatnam,India,,,,,,,,,,,,,,,
37.434,118.6746,Shengli,China,,,,,,,,,,,,,,,
-5.897,22.4488,Kananga,Congo (Kinshasa),,,,,,,,,,,,,,,
38.5677,-121.4685,Sacramento,United States,,,,,,,,,,,,,,,
51.5572,5.0911,Tilburg,Netherlands,,,,,,,,,,,,,,,
28.4773,-81.337,Orlando,United States,,,,,,,,,,,,,,,
7.07,125.6,Davao,Philippines,,,,,,,,,,,,,,,
31.0058,121.2333,Songjiang,China,,,,,,,,,,,,,,,
39.41,116.38,Abhepur,India,,,,,,,,,,,,,,,
19.1972,72.9722,Thāne,India,,,,,,,,,,,,,,,
41.881,123.957,Fushun,China,,,,,,,,,,,,,,,
35.5424,106.6649,Pingliang,China,,,,,,,,,,,,,,,
27.659,113.887,Pingxiang,China,,,,,,,,,,,,,,,
23.2599,77.4126,Bhopāl,India,,,,,,,,,,,,,,,
37.91,40.24,Diyarbakır,Turkey,,,,,,,,,,,,,,,
-11.6647,27.4794,Lubumbashi,Congo (Kinshasa),,,,,,,,,,,,,,,
34.1299,118.7734,Shuyangzha,China,,,,,,,,,,,,,,,
27.18,78.02,Āgra,India,,,,,,,,,,,,,,,
8.9,77.9833,Peyanvilai,India,,,,,,,,,,,,,,,
25.3792,68.3683,Hyderabad City,Pakistan,,,,,,,,,,,,,,,
18.6186,73.8037,Pimpri-Chinchwad,India,,,,,,,,,,,,,,,
23.614,58.5911,Masqaţ,Oman,,,,,,,,,,,,,,,
40.4397,-79.9763,Pittsburgh,United States,,,,,,,,,,,,,,,
39.1413,-84.506,Cincinnati,United States,,,,,,,,,,,,,,,
40.7834,-73.9662,Manhattan,United States,,,,,,,,,,,,,,,
39.1238,-94.5541,Kansas City,United States,,,,,,,,,,,,,,,
21.481,109.12,Beihai,China,,,,,,,,,,,,,,,
30.82,108.4,Sanzhou,China,,,,,,,,,,,,,,,
41.4764,-81.6805,Cleveland,United States,,,,,,,,,,,,,,,
24.9612,118.3849,Ximeicun,China,,,,,,,,,,,,,,,
14.65,120.97,Caloocan City,Philippines,,,,,,,,,,,,,,,
19.6097,-99.06,Ecatepec,Mexico,,,,,,,,,,,,,,,
31.322,120.985,Yushan,China,,,,,,,,,,,,,,,
22.09,82.15,Bilāspur,India,,,,,,,,,,,,,,,
29.2917,117.1986,Jingdezhen,China,,,,,,,,,,,,,,,
30.91,75.85,Ludhiāna,India,,,,,,,,,,,,,,,
21.1167,-101.6833,León de los Aldama,Mexico,,,,,,,,,,,,,,,
10.95,106.8167,Biên Hòa,Vietnam,,,,,,,,,,,,,,,
35.0833,117.15,Chengtangcun,China,,,,,,,,,,,,,,,
5.3748,-4.0867,Yopougon,Côte d’Ivoire,,,,,,,,,,,,,,,
35.748,114.297,Hebi,China,,,,,,,,,,,,,,,
29.61,52.5425,Shīrāz,Iran,,,,,,,,,,,,,,,
38.0817,46.2992,Tabrīz,Iran,,,,,,,,,,,,,,,
45.62,122.838,Baicheng,China,,,,,,,,,,,,,,,
9.9325,-84.08,San José,Costa Rica,,,,,,,,,,,,,,,
35.5167,139.7,Kawasaki,Japan,,,,,,,,,,,,,,,
34.69,135.1956,Kōbe,Japan,,,,,,,,,,,,,,,
29.117,110.479,Zhangjiajie,China,,,,,,,,,,,,,,,
36.5451,104.1389,Baiyin,China,,,,,,,,,,,,,,,
45.295,130.969,Jixi,China,,,,,,,,,,,,,,,
30.1667,121.2333,Xushan,China,,,,,,,,,,,,,,,
6.1308,1.2153,Lomé,Togo,,,,,,,,,,,,,,,
35.1653,126.8486,Gwangju,"Korea, South",,,,,,,,,,,,,,,
19.9975,73.7898,Nāsik,India,,,,,,,,,,,,,,,
16.5193,80.6305,Vijayavāda,India,,,,,,,,,,,,,,,
20.7167,-103.4,Zapopan,Mexico,,,,,,,,,,,,,,,
36.35,127.385,Daejeon,"Korea, South",,,,,,,,,,,,,,,
40.8501,-73.8662,Bronx,United States,,,,,,,,,,,,,,,
37.929,102.638,Wuwei,China,,,,,,,,,,,,,,,
35.0117,135.7683,Kyōto,Japan,,,,,,,,,,,,,,,
31.8767,120.556,Yangshe,China,,,,,,,,,,,,,,,
30.01,103.0415,Yucheng,China,,,,,,,,,,,,,,,
36.7335,-76.0435,Virginia Beach,United States,,,,,,,,,,,,,,,
27.7833,120.625,Rui’an,China,,,,,,,,,,,,,,,
-4.7975,11.8503,Pointe-Noire,Congo (Brazzaville),,,,,,,,,,,,,,,
-6.2889,106.7181,Sangereng,Indonesia,,,,,,,,,,,,,,,
28.4211,77.3078,Farīdābād,India,,,,,,,,,,,,,,,
50.0875,14.4214,Prague,Czechia,,,,,,,,,,,,,,,
28.6125,76.9847,Najafgarh,India,,,,,,,,,,,,,,,
21.7333,110.2833,Lianjiang,China,,,,,,,,,,,,,,,
30.6654,117.4916,Chizhou,China,,,,,,,,,,,,,,,
29.7149,118.3376,Huangshan,China,,,,,,,,,,,,,,,
21.9244,110.8422,Gaozhou,China,,,,,,,,,,,,,,,
30.515,47.81,Al Başrah,Iraq,,,,,,,,,,,,,,,
35.8614,139.6456,Saitama,Japan,,,,,,,,,,,,,,,
31.3047,48.6783,Ahvāz,Iran,,,,,,,,,,,,,,,
-23.4667,-46.5333,Guarulhos,Brazil,,,,,,,,,,,,,,,
20.9143,110.0967,Leizhou,China,,,,,,,,,,,,,,,
31.745,-106.485,Juárez,Mexico,,,,,,,,,,,,,,,
21.9831,96.0844,Mandalay,Burma,,,,,,,,,,,,,,,
30.945,117.811,Wusong,China,,,,,,,,,,,,,,,
41.7283,125.9397,Kuaidamao,China,,,,,,,,,,,,,,,
21.664,110.6396,Huazhou,China,,,,,,,,,,,,,,,
37.9978,106.1986,Wuzhong,China,,,,,,,,,,,,,,,
-1.4558,-48.5039,Belém,Brazil,,,,,,,,,,,,,,,
-8.8053,13.2444,Cacuaco,Angola,,,,,,,,,,,,,,,
35.7767,-5.8039,Tangier,Morocco,,,,,,,,,,,,,,,
18.0,121.8,Canagatan,Philippines,,,,,,,,,,,,,,,
-26.2678,27.8585,Soweto,South Africa,,,,,,,,,,,,,,,
41.823,-71.4187,Providence,United States,,,,,,,,,,,,,,,
33.5819,119.028,Huaiyin,China,,,,,,,,,,,,,,,
28.278,112.552,Yutan,China,,,,,,,,,,,,,,,
1.13,104.0531,Bagam,Indonesia,,,,,,,,,,,,,,,
26.8552,100.2259,Dayan,China,,,,,,,,,,,,,,,
14.098,-87.21,Comayagüela,Honduras,,,,,,,,,,,,,,,
32.688,112.087,Huazhou,China,,,,,,,,,,,,,,,
19.24,73.13,Kalyān,India,,,,,,,,,,,,,,,
32.246,120.591,Rucheng,China,,,,,,,,,,,,,,,
33.9299,116.45,Yongcheng,China,,,,,,,,,,,,,,,
-6.84,107.9208,Sumedang,Indonesia,,,,,,,,,,,,,,,
10.0333,105.7833,Cần Thơ,Vietnam,,,,,,,,,,,,,,,
37.2667,127.0167,Suwon,"Korea, South",,,,,,,,,,,,,,,
19.47,72.8,Vasai-Virar,India,,,,,,,,,,,,,,,
26.5824,101.7184,Dadukou,China,,,,,,,,,,,,,,,
22.708,110.354,Lingcheng,China,,,,,,,,,,,,,,,
46.6762,131.1416,Shuangyashan,China,,,,,,,,,,,,,,,
29.3875,76.97,Pānīpat,India,,,,,,,,,,,,,,,
3.1167,43.65,Baidoa,Somalia,,,,,,,,,,,,,,,
25.3189,83.0128,Vārānasi,India,,,,,,,,,,,,,,,
9.2807,76.8697,Kalleli,India,,,,,,,,,,,,,,,
1.1272,104.0556,Batam Centre,Indonesia,,,,,,,,,,,,,,,
36.7769,119.9884,Pingdu,China,,,,,,,,,,,,,,,
26.218,104.103,Rongcheng,China,,,,,,,,,,,,,,,
0.0478,18.2558,Mbandaka,Congo (Kinshasa),,,,,,,,,,,,,,,
42.3167,69.5958,Shymkent,Kazakhstan,,,,,,,,,,,,,,,
34.09,74.79,Srīnagar,India,,,,,,,,,,,,,,,
19.88,75.32,Aurangābād,India,,,,,,,,,,,,,,,
-7.7167,109.017,Cilacap,Indonesia,,,,,,,,,,,,,,,
34.3964,113.7402,Xinhualu,China,,,,,,,,,,,,,,,
40.7776,-111.9311,Salt Lake City,United States,,,,,,,,,,,,,,,
28.1637,113.6433,Guankou,China,,,,,,,,,,,,,,,
23.7998,86.4305,Dhanbād,India,,,,,,,,,,,,,,,
19.7475,96.115,Nay Pyi Taw,Burma,,,,,,,,,,,,,,,
30.664,113.167,Jingling,China,,,,,,,,,,,,,,,
28.2721,117.0395,Yingtan,China,,,,,,,,,,,,,,,
35.8324,-78.6429,Raleigh,United States,,,,,,,,,,,,,,,
36.01,106.257,Guyuan,China,,,,,,,,,,,,,,,
47.2225,39.71,Rostov,Russia,,,,,,,,,,,,,,,
-2.5061,28.8608,Bukavu,Congo (Kinshasa),,,,,,,,,,,,,,,
6.8333,3.65,Shagamu,Nigeria,,,,,,,,,,,,,,,
27.88,78.08,Alīgarh,India,,,,,,,,,,,,,,,
38.9248,100.4499,Zhangye,China,,,,,,,,,,,,,,,
35.55,129.3167,Ulsan,"Korea, South",,,,,,,,,,,,,,,
29.8402,112.9048,Rongcheng,China,,,,,,,,,,,,,,,
26.1722,91.7458,Guwāhāti,India,,,,,,,,,,,,,,,
34.0433,-5.0033,Fès,Morocco,,,,,,,,,,,,,,,
34.142,113.489,Yingchuan,China,,,,,,,,,,,,,,,
20.25,105.8333,Ninh Bình,Vietnam,,,,,,,,,,,,,,,
37.39,-5.99,Sevilla,Spain,,,,,,,,,,,,,,,
7.5167,5.75,Ikare,Nigeria,,,,,,,,,,,,,,,
38.516,114.99,Dingzhou,China,,,,,,,,,,,,,,,
-16.6806,-49.2564,Goiânia,Brazil,,,,,,,,,,,,,,,
-6.7889,39.2056,Ubungo,Tanzania,,,,,,,,,,,,,,,
31.36,119.815,Yicheng,China,,,,,,,,,,,,,,,
37.5295,-77.4756,Richmond,United States,,,,,,,,,,,,,,,
0.5167,25.2,Kisangani,Congo (Kinshasa),,,,,,,,,,,,,,,
36.0,119.4167,Zhufeng,China,,,,,,,,,,,,,,,
19.4081,-99.0186,Nezahualcóyotl,Mexico,,,,,,,,,,,,,,,
22.58,88.3294,Hāora,India,,,,,,,,,,,,,,,
37.2333,127.2,Tongjin,"Korea, South",,,,,,,,,,,,,,,
23.36,85.33,Rānchi,India,,,,,,,,,,,,,,,
19.4006,-99.0148,Ciudad Nezahualcóyotl,Mexico,,,,,,,,,,,,,,,
28.1958,115.7833,Jianguang,China,,,,,,,,,,,,,,,
37.65,126.8,Goyang,"Korea, South",,,,,,,,,,,,,,,
39.7334,98.4943,Xibeijie,China,,,,,,,,,,,,,,,
30.75,76.78,Chandīgarh,India,,,,,,,,,,,,,,,
37.5002,105.1968,Zhongwei,China,,,,,,,,,,,,,,,
30.38,104.53,Jiancheng,China,,,,,,,,,,,,,,,
36.857,118.791,Shouguang,China,,,,,,,,,,,,,,,
27.26,111.7442,Liangshi,China,,,,,,,,,,,,,,,
-2.53,-44.3028,São Luís,Brazil,,,,,,,,,,,,,,,
8.1333,4.25,Ogbomoso,Nigeria,,,,,,,,,,,,,,,
25.5206,89.2147,Rangapukur,Bangladesh,,,,,,,,,,,,,,,
30.1286,31.2422,Shubrā al Khaymah,Egypt,,,,,,,,,,,,,,,
10.8266,106.7609,Thủ Đức,Vietnam,,,,,,,,,,,,,,,
36.9114,66.1858,Āqchah,Afghanistan,,,,,,,,,,,,,,,
41.0011,71.6683,Namangan,Uzbekistan,,,,,,,,,,,,,,,
35.2708,128.6631,Changwon,"Korea, South",,,,,,,,,,,,,,,
-6.4167,20.8,Tshikapa,Congo (Kinshasa),,,,,,,,,,,,,,,
7.2739,-2.8735,Domaa-Ahenkro,Ghana,,,,,,,,,,,,,,,
42.888,125.1447,Liaoyuan,China,,,,,,,,,,,,,,,
41.0342,28.68,Esenyurt,Turkey,,,,,,,,,,,,,,,
0.5092,101.4453,Pekanbaru,Indonesia,,,,,,,,,,,,,,,
35.6073,140.1064,Chiba,Japan,,,,,,,,,,,,,,,
33.4658,114.8753,Shuizhai,China,,,,,,,,,,,,,,,
27.0087,106.0323,Qianxi,China,,,,,,,,,,,,,,,
41.7661,-72.6834,Hartford,United States,,,,,,,,,,,,,,,
23.6167,90.5,Nārāyanganj,Bangladesh,,,,,,,,,,,,,,,
-33.9581,25.6,Gqeberha,South Africa,,,,,,,,,,,,,,,
31.87,121.703,Huilong,China,,,,,,,,,,,,,,,
36.7194,-4.42,Málaga,Spain,,,,,,,,,,,,,,,
-9.6658,-35.735,Maceió,Brazil,,,,,,,,,,,,,,,
19.5209,109.5808,Nada,China,,,,,,,,,,,,,,,
21.6867,108.3547,Fangchenggang,China,,,,,,,,,,,,,,,
17.68,75.92,Solāpur,India,,,,,,,,,,,,,,,
36.0193,113.86,Kaiyuan,China,,,,,,,,,,,,,,,
42.9018,-78.8487,Buffalo,United States,,,,,,,,,,,,,,,
18.4855,-69.8734,Santo Domingo Este,Dominican Republic,,,,,,,,,,,,,,,
34.3369,47.0911,Kermānshāh,Iran,,,,,,,,,,,,,,,
-4.4419,15.395,Kibanseke Première,Congo (Kinshasa),,,,,,,,,,,,,,,
5.3909,100.4104,Seberang Jaya,Malaysia,,,,,,,,,,,,,,,
34.0333,-6.8,Sale,Morocco,,,,,,,,,,,,,,,
15.3502,75.1376,Hubli,India,,,,,,,,,,,,,,,
-16.5047,-68.1633,El Alto,Bolivia,,,,,,,,,,,,,,,
39.9244,32.8856,Çankaya,Turkey,,,,,,,,,,,,,,,
37.1997,126.8314,Hwasu-dong,"Korea, South",,,,,,,,,,,,,,,
24.21,113.401,Yingcheng,China,,,,,,,,,,,,,,,
35.6466,139.6532,Setagaya,Japan,,,,,,,,,,,,,,,
40.0,32.8667,Keçiören,Turkey,,,,,,,,,,,,,,,
22.7689,111.5697,Luocheng,China,,,,,,,,,,,,,,,
15.6333,32.6333,Khartoum North,Sudan,,,,,,,,,,,,,,,
6.5333,3.35,Mushin,Nigeria,,,,,,,,,,,,,,,
33.8833,130.8833,Kitakyūshū,Japan,,,,,,,,,,,,,,,
41.1918,-73.1954,Bridgeport,United States,,,,,,,,,,,,,,,
34.286,118.355,Xin’an,China,,,,,,,,,,,,,,,
39.4681,75.9938,Kashgar,China,,,,,,,,,,,,,,,
37.4333,127.15,Sŏngnam,"Korea, South",,,,,,,,,,,,,,,
30.0687,-89.9288,New Orleans,United States,,,,,,,,,,,,,,,
10.7903,78.7047,Trichinopoly,India,,,,,,,,,,,,,,,
36.6853,118.4796,Qingzhou,China,,,,,,,,,,,,,,,
-27.7833,-64.2667,Santiago del Estero,Argentina,,,,,,,,,,,,,,,
19.4753,-99.2378,Naucalpan de Juárez,Mexico,,,,,,,,,,,,,,,
12.27,123.58,Masbate,Philippines,,,,,,,,,,,,,,,
22.252,112.794,Taishan,China,,,,,,,,,,,,,,,
36.2647,120.0334,Jiaozhou,China,,,,,,,,,,,,,,,
21.441,110.779,Wuchuan,China,,,,,,,,,,,,,,,
39.6271,121.9796,Wafangdian,China,,,,,,,,,,,,,,,
26.4333,50.1,Ad Dammām,Saudi Arabia,,,,,,,,,,,,,,,
30.2974,30.9764,Ashmūn,Egypt,,,,,,,,,,,,,,,
1.5667,30.25,Bunia,Congo (Kinshasa),,,,,,,,,,,,,,,
44.924,127.158,Wuchang,China,,,,,,,,,,,,,,,
-22.8269,-43.0539,São Gonçalo,Brazil,,,,,,,,,,,,,,,
22.6799,109.2614,Hengzhou,China,,,,,,,,,,,,,,,
36.1861,116.7719,Feicheng,China,,,,,,,,,,,,,,,
-8.8214,13.2911,Cazenga,Angola,,,,,,,,,,,,,,,
20.9667,-89.6167,Mérida,Mexico,,,,,,,,,,,,,,,
40.1983,29.06,Osmangazi,Turkey,,,,,,,,,,,,,,,
28.8319,78.7764,Morādābād,India,,,,,,,,,,,,,,,
7.1608,3.3483,Abeokuta,Nigeria,,,,,,,,,,,,,,,
21.1606,-86.8475,Cancún,Mexico,,,,,,,,,,,,,,,
32.129,112.772,Zaoyang,China,,,,,,,,,,,,,,,
14.52,121.05,Taguig City,Philippines,,,,,,,,,,,,,,,
28.3972,36.5789,Tabūk,Saudi Arabia,,,,,,,,,,,,,,,
27.6461,113.497,Xishan,China,,,,,,,,,,,,,,,
32.1541,-110.8787,Tucson,United States,,,,,,,,,,,,,,,
47.728,128.841,Yichun,China,,,,,,,,,,,,,,,
35.55,45.4333,As Sulaymānīyah,Iraq,,,,,,,,,,,,,,,
3.0223,101.5481,Klang,Malaysia,,,,,,,,,,,,,,,
11.1085,77.3411,Tiruppūr,India,,,,,,,,,,,,,,,
28.456,77.029,Gurgaon,India,,,,,,,,,,,,,,,
22.1704,111.7916,Yangchun,China,,,,,,,,,,,,,,,
33.4258,43.2992,Ar Ramādī,Iraq,,,,,,,,,,,,,,,
32.535,120.563,Hai’an,China,,,,,,,,,,,,,,,
31.168,112.588,Zhongxiang,China,,,,,,,,,,,,,,,
29.6534,91.1719,Lhasa,China,,,,,,,,,,,,,,,
43.5053,124.8224,Gongzhuling,China,,,,,,,,,,,,,,,
27.692,111.664,Lianyuan,China,,,,,,,,,,,,,,,
6.6,3.35,Ikeja,Nigeria,,,,,,,,,,,,,,,
50.8058,-1.0872,Portsmouth,United Kingdom,,,,,,,,,,,,,,,
36.6333,127.4833,Cheongju,"Korea, South",,,,,,,,,,,,,,,
38.4261,77.25,Shache,China,,,,,,,,,,,,,,,
19.8075,105.7764,Thanh Hóa,Vietnam,,,,,,,,,,,,,,,
31.173,115.008,Macheng,China,,,,,,,,,,,,,,,
37.6823,112.7281,Yuci,China,,,,,,,,,,,,,,,
44.535,125.703,Dehui,China,,,,,,,,,,,,,,,
-29.6167,30.3833,Pietermaritzburg,South Africa,,,,,,,,,,,,,,,
